antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
Drug_Miconazole,"ADE_itching, Sentiment_Negative",0.011298872,0.014925671,0.006795265,0.601410935,40.29372968,1,0.006626622,2.471403296,0.986326621,0.34974359,0.595371584,0.528342317
Drug_Miconazole,ADE_itching,0.011298872,0.019967319,0.007951058,0.703703704,35.24277371,1,0.00772545,3.307610299,0.982729119,0.341025641,0.697666923,0.550953648
"Drug_Miconazole, Sentiment_Negative",ADE_itching,0.00966482,0.019967319,0.006795265,0.703092784,35.21217771,1,0.006602285,3.300804516,0.981082722,0.297556719,0.697043556,0.521706072
Drug_Phentermine,ADE_dry mouth,0.013072416,0.033896616,0.007632219,0.583841463,17.22418126,1,0.007189108,2.321479193,0.954418646,0.19402229,0.569240162,0.404501567
Drug_Citalopram,ADE_anxiety,0.013889442,0.162647961,0.0084891,0.611190818,3.75775271,1,0.00623001,2.153632365,0.744220305,0.050515831,0.535668197,0.331691954
Drug_Zoloft,ADE_anxiety,0.011458292,0.162647961,0.00683512,0.596521739,3.667563577,1,0.004971452,2.075333716,0.735770092,0.040862521,0.518149784,0.319272876
Drug_Sertraline,ADE_anxiety,0.019528915,0.162647961,0.011617712,0.594897959,3.657580175,1,0.008441373,2.067015108,0.741067436,0.068115434,0.516210599,0.333163265
Drug_Miconazole,Sentiment_Negative,0.011298872,0.498226456,0.00966482,0.855379189,1.71684819,1,0.004035423,3.469580483,0.422308933,0.019335034,0.711780717,0.437388818
"ADE_itching, Drug_Miconazole",Sentiment_Negative,0.007951058,0.498226456,0.006795265,0.854636591,1.715357709,1,0.002833838,3.451855934,0.42037363,0.013607342,0.710300772,0.43413775
"ADE_nausea, Severity_Extreme",Sentiment_Negative,0.015822406,0.498226456,0.012454665,0.787153652,1.57991139,1,0.004571524,2.357444936,0.372954143,0.024830162,0.575811937,0.406075826
ADE_burning,Sentiment_Negative,0.010083297,0.498226456,0.007672074,0.760869565,1.527156088,1,0.002648308,2.098325731,0.348704174,0.015324603,0.523429568,0.388134167
"Severity_Extreme, ADE_depression",Sentiment_Negative,0.0113188,0.498226456,0.008608664,0.76056338,1.526541539,1,0.002969339,2.09564245,0.348873302,0.017185138,0.522819363,0.388920999
"Severity_Extreme, ADE_mood swings",Sentiment_Negative,0.014148499,0.498226456,0.010701048,0.756338028,1.518060752,1,0.003651891,2.059301829,0.346162515,0.021330685,0.514398528,0.388908155
