consumer_term,medical_term
throwing up,vomiting
throwing up a lot,vomiting
puking,vomiting
feeling sick to my stomach,nausea
blurred eyesight,blurred vision
queasy,nausea
upset stomach,dyspepsia
stomach ache,abdominal pain
tummy pain,abdominal pain
gassy,flatulence
bloated feeling,bloating
can't poop,constipation
backed up,constipation
runny stool,diarrhea
the runs,diarrhea
loose stools,diarrhea
heartburn feeling,gastroesophageal reflux
acid reflux,gastroesophageal reflux
burping a lot,belching
no appetite,loss of appetite
not hungry at all,loss of appetite
eating everything in sight,increased appetite
cotton mouth,dry mouth
mouth feels dry,dry mouth
metallic taste in mouth,taste disturbance
food tastes weird,taste disturbance
hard to swallow,dysphagia
bleeding from the back,rectal bleeding
black poop,melena
blood in stool,hematochezia
throwing up blood,hematemesis
racing heart,palpitations
heart racing,palpitations
heart pounding,palpitations
heart skipping beats,palpitations
slow heartbeat,bradycardia
high blood pressure,hypertension
low blood pressure,hypotension
dizzy when standing up,orthostatic hypotension
chest pain,chest pain
tight chest,chest tightness
swollen ankles,peripheral edema
swollen feet,peripheral edema
puffy legs,peripheral edema
passed out,syncope
felt like I was going to faint,presyncope
cold hands and feet,cold extremities
face turning red,flushing
hot flashes,hot flashes
splitting headache,headache
pounding headache,headache
migraine attack,migraine
room spinning,vertigo
felt dizzy,dizziness
lightheaded,lightheadedness
sleepy all the time,somnolence
can't sleep,insomnia
sleeping too much,hypersomnia
shaking hands,tremor
hands trembling,tremor
pins and needles,paresthesia
tingly feeling,paresthesia
arm went numb,numbness
legs feel numb,numbness
brain fog,cognitive impairment
can't think straight,cognitive impairment
forgetful,memory impairment
losing my balance,balance problems
stumbling around,ataxia
slurring words,slurred speech
burning feeling in feet,burning sensation
electric shock feeling in my head,electric shock sensation
brain zaps,electric shock sensation
seizure episode,seizure
anxious all the time,anxiety
panicky,panic attacks
feeling down,depression
really depressed,depression
mood all over the place,mood swings
snapping at everyone,irritability
on edge,nervousness
can't sit still,restlessness
seeing things that aren't there,hallucinations
suicidal thoughts,suicidal ideation
thoughts of self harm,suicidal ideation
crying for no reason,crying spells
emotionally numb,emotional blunting
don't care about anything,apathy
withdrawal when I stopped,withdrawal symptoms
hooked on it,dependence
needed more to feel the same effect,tolerance
itchy skin,pruritus
skin is itchy all over,pruritus
broke out in hives,urticaria
rash all over my body,rash
skin peeling off,skin peeling
bruise easily,easy bruising
random bruises,bruising
hair falling out,alopecia
losing hair in clumps,alopecia
sweating like crazy,excessive sweating
drenched in sweat at night,night sweats
skin turned yellow,jaundice
eyes turned yellow,jaundice
face swelled up,facial swelling
lips swelling up,swelling of lips
tongue swelled up,swelling of tongue
can't breathe,shortness of breath
out of breath,dyspnea
winded easily,dyspnea
wheezing sound when breathing,wheezing
stuffy nose,nasal congestion
nose bleeding,epistaxis
sore throat,sore throat
hoarse voice,hoarseness
coughing nonstop,cough
muscle aches all over,myalgia
body aches,body aches
joints hurt,arthralgia
achy joints,arthralgia
back is killing me,back pain
legs cramping at night,leg cramps
muscles feel weak,muscle weakness
stiff in the morning,stiffness
kidneys hurt,kidney pain
peeing all the time,urinary frequency
burns when I pee,dysuria
blood in my urine,hematuria
can't hold my pee,incontinence
getting up all night to pee,nocturia
urine is dark,dark urine
foamy pee,foamy urine
gained a bunch of weight,weight gain
dropped weight fast,weight loss
blood sugar spiked,hyperglycemia
blood sugar crashed,hypoglycemia
always thirsty,excessive thirst
can't handle the cold,cold intolerance
can't handle the heat,heat intolerance
vision is blurry,blurred vision
seeing double,double vision
eyes are so dry,dry eyes
eyes hurt,eye pain
sensitive to light,photophobia
ringing in my ears,tinnitus
ears ringing constantly,tinnitus
can't hear as well,hearing loss
ears feel full,ear fullness
no sex drive,decreased libido
libido tanked,decreased libido
can't get it up,erectile dysfunction
periods are all messed up,menstrual irregularities
missed my period,amenorrhea
breasts are tender,breast tenderness
spotting between periods,spotting between periods
so tired all the time,fatigue
wiped out,fatigue
running a fever,fever
chills and shaking,chills
feel like garbage,malaise
flu-like feeling,flu-like symptoms
no energy at all,low energy
allergic reaction,allergic reaction
threw up and had hives,allergic reaction
injection site is sore,injection site pain
red bump where I got the shot,injection site redness
swelling where I got the shot,injection site swelling
bruise where the needle went in,injection site bruising
skin burns where I put the patch,application site burning
gums are bleeding,gum bleeding
teeth are discolored,tooth discoloration
sores in my mouth,mouth ulcers
grinding my teeth at night,teeth grinding
liver numbers are off,elevated liver enzymes
liver test came back high,elevated liver enzymes
cholesterol went up,elevated cholesterol
blood work showed low platelets,thrombocytopenia
white blood cells dropped,leukopenia
anemic,anemia
feel anemic and weak,anemia
clot in my leg,deep vein thrombosis
