phrase,normalized
heart racing,palpitations
racing heart,palpitations
pounding heart,palpitations
heart pounding,palpitations
heart skipping beats,palpitations
heart fluttering,palpitations
heart flutters,palpitations
thumping in my chest,palpitations
stomach ache,abdominal pain
tummy pain,abdominal pain
belly pain,abdominal pain
stomach on fire,abdominal pain
gut wrenching pain,abdominal cramping
stomach in knots,abdominal cramping
cramping in my stomach,abdominal cramping
throwing up,vomiting
puking,vomiting
can't keep anything down,vomiting
feeling sick to my stomach,nausea
queasy,nausea
feel like I'm going to be sick,nausea
upset stomach,dyspepsia
can't poop,constipation
backed up,constipation
the runs,diarrhea
loose stools,diarrhea
runny stool,diarrhea
gassy,flatulence
bloated feeling,bloating
belly is huge and tight,abdominal distension
heartburn feeling,gastroesophageal reflux
acid reflux,gastroesophageal reflux
no appetite,loss of appetite
not hungry at all,loss of appetite
can't stop eating,increased appetite
eating everything in sight,increased appetite
cotton mouth,dry mouth
mouth feels dry,dry mouth
metallic taste in mouth,taste disturbance
food tastes weird,taste disturbance
hard to swallow,dysphagia
black poop,melena
blood in stool,hematochezia
throwing up blood,hematemesis
splitting headache,headache
pounding headache,headache
head feels like it's going to explode,headache
migraine attack,migraine
room spinning,vertigo
world is spinning,vertigo
felt dizzy,dizziness
lightheaded,lightheadedness
sleepy all the time,somnolence
felt like a zombie,somnolence
can't sleep,insomnia
sleeping too much,hypersomnia
shaking hands,tremor
hands trembling,tremor
shaking uncontrollably,tremor
pins and needles,paresthesia
tingly feeling,paresthesia
skin crawling feeling,paresthesia
arm went numb,numbness
legs feel numb,numbness
brain fog,cognitive impairment
can't think straight,cognitive impairment
felt spacey,cognitive impairment
forgetful,memory impairment
can't remember what happened yesterday,short-term memory loss
losing my balance,balance problems
stumbling around,ataxia
felt drunk without drinking,ataxia
slurring words,slurred speech
words come out jumbled,aphasia
burning feeling in feet,burning sensation
brain zaps,electric shock sensation
electric shock feeling in my head,electric shock sensation
face drooping on one side,facial droop
legs won't stay still at night,restless legs syndrome
legs won't stop twitching at night,nocturnal leg jerks
anxious all the time,anxiety
panicky,panic attacks
panic attack out of nowhere,panic attacks
feeling down,depression
really depressed,depression
mood all over the place,mood swings
snapping at everyone,irritability
on edge,nervousness
feel jittery,nervousness
can't sit still,restlessness
seeing things that aren't there,hallucinations
suicidal thoughts,suicidal ideation
crying for no reason,crying spells
emotionally numb,emotional blunting
don't care about anything,apathy
nothing feels real anymore,derealization
feel outside my body,depersonalization
thoughts racing nonstop,racing thoughts
talking a mile a minute,pressured speech
can't stop intrusive thoughts,intrusive thoughts
withdrawal when I stopped,withdrawal symptoms
hooked on it,dependence
needed more to feel the same effect,tolerance
itchy skin,pruritus
skin is itchy all over,pruritus
can't stop scratching,pruritus
broke out in hives,urticaria
rash all over my body,rash
skin peeling off,skin peeling
bruise easily,easy bruising
random bruises,bruising
hair falling out,alopecia
losing hair in clumps,alopecia
sweating like crazy,excessive sweating
drenched in sweat at night,night sweats
skin turned yellow,jaundice
eyes turned yellow,jaundice
face swelled up,facial swelling
swelled up like a balloon,facial swelling
lips swelling up,swelling of lips
tongue swelled up,swelling of tongue
can't breathe,shortness of breath
out of breath,dyspnea
winded easily,dyspnea
wheezy chest,wheezing
stuffy nose,nasal congestion
nose bleeding,epistaxis
keep getting nosebleeds,epistaxis
sore throat,sore throat
hoarse voice,hoarseness
coughing nonstop,cough
muscle aches all over,myalgia
body aches,body aches
joints hurt,arthralgia
achy joints,arthralgia
back is killing me,back pain
legs cramping at night,leg cramps
muscles feel weak,muscle weakness
stiff in the morning,stiffness
kidneys hurt,kidney pain
peeing all the time,urinary frequency
burns when I pee,dysuria
blood in my urine,hematuria
can't hold my pee,incontinence
getting up all night to pee,nocturia
urine is dark,dark urine
foamy pee,foamy urine
gained a bunch of weight,weight gain
dropped weight fast,weight loss
blood sugar spiked,hyperglycemia
blood sugar crashed,hypoglycemia
always thirsty,excessive thirst
always thirsty and peeing nonstop,polydipsia
vision is blurry,blurred vision
seeing double,double vision
eyes are so dry,dry eyes
eyes hurt,eye pain
sensitive to light,photophobia
seeing halos around streetlights,halos around lights
eyelid won't stay open,eyelid drooping
ringing in my ears,tinnitus
ears ringing constantly,tinnitus
can't hear as well,hearing loss
sudden hearing loss in one ear,sudden hearing loss
ears feel full,ear fullness
no sex drive,decreased libido
libido tanked,decreased libido
can't get it up,erectile dysfunction
periods are all messed up,menstrual irregularities
missed my period,amenorrhea
breasts are tender,breast tenderness
so tired all the time,fatigue
wiped out,fatigue
worn out even after resting,post-exertional malaise
running a fever,fever
chills and shaking,chills
feel like garbage,malaise
flu-like feeling,flu-like symptoms
no energy at all,low energy
feels like impending doom,feeling of impending doom
injection site is sore,injection site pain
red bump where I got the shot,injection site redness
swelling where I got the shot,injection site swelling
gums are bleeding,gum bleeding
teeth are discolored,tooth discoloration
sores in my mouth,mouth ulcers
grinding my teeth at night,teeth grinding
drooling all over my pillow,excessive drooling
mouth burns like I ate a pepper,burning mouth syndrome
liver numbers are off,elevated liver enzymes
blood work showed low platelets,thrombocytopenia
white blood cells dropped,leukopenia
anemic,anemia
keep bruising and gums won't stop bleeding,spontaneous bruising
clot in my leg,deep vein thrombosis
felt like I was having a heart attack,myocardial infarction
can't stop sweating,excessive sweating
waking up gasping,apnea
chest feels heavy,chest tightness
wired but tired,insomnia
can't wind down at night,insomnia
nightmares every night,nightmares
weird vivid dreams,vivid dreams
talk in my sleep now,sleep talking
waking up multiple times a night,frequent night waking
puffy face,facial swelling
swollen glands,lymphadenopathy
joints are swollen,joint swelling
can't grip things anymore,reduced grip strength
legs feel heavy,muscle weakness
bones ache,bone pain
jaw hurts,jaw pain
neck is stiff,neck pain
can barely walk,gait disturbance
dragging my feet,gait disturbance
felt faint,presyncope
passed out,syncope
blacked out,syncope
throat closing up,throat swelling
throat feels like it's closing,throat swelling
went into shock,anaphylactic shock
blood pressure through the roof,hypertension
blood pressure tanked,hypotension
dizzy when standing up,orthostatic hypotension
kidneys shutting down,acute kidney injury
peeing way more than usual,polyuria
barely peeing at all,oliguria
gained water weight,fluid retention
potassium too high,hyperkalemia
potassium too low,hypokalemia
sodium levels low,hyponatremia
thyroid acting up,thyroid dysfunction
gout flare-up,gout flare
breasts leaking,galactorrhea
nipples leaking fluid,nipple discharge
man boobs,gynecomastia
testicles hurt,testicular pain
scrotum is swollen and painful,scrotal swelling
vaginal dryness,vaginal dryness
heavy periods,heavy menstrual bleeding
ear infection came back,ear infection
ear is oozing fluid,ear discharge
hearing muffled,hearing impairment
eyes are red and watery,eye redness
eyelid keeps twitching,eyelid twitching
seeing floating spots,floaters
can't see well at night,night vision problems
gums are swollen,gum swelling
bad breath started,bad breath
mouth full of white patches,oral thrush
nails turned weird color,nail discoloration
nails are brittle,nail changes
nails lifting off the bed,onycholysis
skin got darker in patches,hyperpigmentation
small purple spots on skin,petechiae
large bruise-like patches,purpura
everything feels unreal,disorientation
felt disconnected from myself,disorientation
skin feels clammy,clammy skin
cold sweats at night,cold sweats
shaking and sweating when I skip a dose,withdrawal tremor
felt sick when I stopped taking it,discontinuation syndrome
craving it constantly,drug craving
insomnia came back worse after stopping,rebound insomnia
anxiety came back worse after stopping,rebound anxiety
bugs crawling on my skin,paresthesia
belly swollen with fluid,ascites
spider veins showed up on my chest,spider angiomas
cut won't heal,delayed wound healing
red streaks up my arm,cutaneous vasculitis
